step,total_score,phi,self_reference_depth,workspace_activation,cross_module_integration,information_density,level_idx,level,phi_raw_nats,phi_instant_nats,phi_causal_nats
93,0.4721636569432325,0.02197128111861974,0.21625342042261458,0.6092108547159626,0.8028169014084507,0.9400973423611467,3,中等意识,0.043949635189042435,0.03276126404945373,0.05513800632863114
94,0.47929597949269376,0.023638114250220634,0.21586797068586808,0.6130502478766131,0.8028169014084507,0.9802628462396812,3,中等意识,0.04728503681583594,0.03745259473547263,0.05711747889619925
95,0.45832584979457014,0.026217277703374155,0.217348059738378,0.6115035286333665,0.8028169014084507,0.8362522160845834,3,中等意识,0.05244657391818665,0.04336052646273875,0.06153262137363455
96,0.44618360851333605,0.033121300384666805,0.21861488189926206,0.6154765961105695,0.8028169014084507,0.7368107168900859,2,低意识,0.06626683989036054,0.060990419223904524,0.07154326055681656
97,0.4640329521716863,0.034088374763563356,0.2179378407497767,0.6138813499026439,0.8028169014084507,0.857224267124141,3,中等意识,0.0682031754746867,0.06432611864341847,0.07208023230595492
98,0.47748061106446815,0.03559601859682021,0.2173867513632179,0.6179827981934638,0.8028169014084507,0.9396287748149106,3,中等意识,0.07122212866059009,0.0682745279750992,0.07416972934608099
99,0.4845885946770059,0.03711909081629503,0.21689138618089399,0.6218262802794648,0.8028169014084507,0.9800127226611346,3,中等意识,0.07427230563517838,0.07257516370453515,0.07596944756582161
100,0.4644335365155693,0.03946978370587163,0.2179715124360706,0.6246578600418771,0.8028169014084507,0.8365122387454778,3,中等意识,0.0789805981362439,0.07790384190802718,0.08005735436446063
101,0.45072795348752426,0.045634752634628885,0.21881022898244076,0.6228789885553252,0.8028169014084507,0.7361202769308248,3,中等意识,0.0913329417338233,0.09341468267344477,0.08925120079420182
102,0.46851561268179465,0.04642588774549911,0.2180601353310056,0.6211356944985045,0.8028169014084507,0.8567106299855183,3,中等意识,0.09291857165639039,0.09642677786888665,0.08941036544389414
103,0.48076052797028934,0.04779872109374913,0.21733023314237354,0.6194272663228201,0.8028169014084507,0.9393064501474879,3,中等意识,0.09567034654378034,0.10002245870143578,0.09131823438612491
104,0.4877072224603014,0.04919549158987978,0.21684316429338127,0.6225014642570053,0.8028169014084507,0.9798402904737599,3,中等意识,0.09847047380901103,0.10398038027690037,0.09296056734112168
105,0.4668581450149186,0.05155653624856784,0.21792478693596765,0.6207657206861508,0.8028169014084507,0.8377835276444185,3,中等意识,0.1032045792899671,0.10964342870131277,0.09676572987862142
106,0.45338715012128367,0.05972378271229139,0.21875925367200735,0.6190646919867135,0.8028169014084507,0.7355202335318429,3,中等意识,0.11958989052419611,0.12456934125120439,0.11461043979718782
107,0.47126520661699944,0.06076183570080667,0.21796120584944612,0.6173976838612649,0.8028169014084507,0.8562639297864358,3,中等意识,0.12167355873150879,0.1273026589345707,0.11604445852844686
108,0.4836060313819899,0.06239256965665783,0.217189137920709,0.6157640158983253,0.8028169014084507,0.9390258528155229,3,中等意识,0.12494744112954437,0.13058960261720998,0.11930527964187876
109,0.4896638432317308,0.06410426048105197,0.21644151676105924,0.6141630212946445,0.8028169014084507,0.9796899347909127,3,中等意识,0.12838457340438675,0.1342481506876113,0.12252099612116218
110,0.47004344046237023,0.0663613506132962,0.21766055072373613,0.618082898918622,0.8028169014084507,0.8382735506592289,3,中等意识,0.13291804700238022,0.13950721839394714,0.1263288756108133
111,0.4563006172810694,0.07386794465130689,0.21861348846063233,0.6164355266545353,0.8028169014084507,0.735069652090127,3,中等意识,0.14800547809951128,0.15316086370197268,0.14285009249704989
112,0.474180373518569,0.07474443551096517,0.21788709062200073,0.6148211018357302,0.8028169014084507,0.8559283057839423,3,中等意识,0.1497681926034679,0.15565374518902475,0.14388264001791107
113,0.4865280296185659,0.0762358586201545,0.21717831357686074,0.6132389655133014,0.8028169014084507,0.9388148590920313,3,中等意识,0.15276813535131573,0.15867107493952926,0.1468651957631022
114,0.4925886586507906,0.07781511129394694,0.21648648662418174,0.611688471917321,0.8028169014084507,0.9795767255820876,3,中等意识,0.1559454923971458,0.16206291708387804,0.14982806771041357
115,0.4720527771211836,0.08005144076168566,0.21745680457947794,0.6101689881932604,0.8028169014084507,0.8396758539634955,3,中等意识,0.16044619471042137,0.16715416019423535,0.15373822922660743
116,0.45904402246124903,0.08729705663060536,0.2185174588704633,0.6138060270569152,0.8028169014084507,0.7346112055762122,3,中等意识,0.17503966653452374,0.18050904623142017,0.16957028683762732
117,0.4769815085560082,0.08823839006822207,0.2178584695297615,0.6122441922300627,0.8028169014084507,0.8555866560353178,3,中等意识,0.1769369486470469,0.18278501422052712,0.17108888307356668
118,0.48938667277616776,0.08979500714808171,0.21720916329581266,0.6107135940997471,0.8028169014084507,0.9385999281889683,3,中等意识,0.18007504968741805,0.18556756164379434,0.17458253773104174
119,0.4966168687859327,0.09152759976489157,0.21673905624930734,0.6145229324727219,0.8028169014084507,0.9794612721240924,3,中等意识,0.18356895387145195,0.1887194799482303,0.17841842779467357
120,0.4761848375046234,0.09400413601653683,0.21809264913720938,0.6129467595375531,0.8028169014084507,0.8394169432256439,3,中等意识,0.1885650227185744,0.19116725757708236,0.1859627878600664
121,0.4616488704216183,0.09929719792675537,0.2191485327597821,0.6114021100610878,0.8028169014084507,0.7343404139604354,3,中等意识,0.1992509938402784,0.2013988155787531,0.19710317210180364
122,0.479246924738454,0.09894005513965262,0.21831571942788114,0.6098883535741517,0.8028169014084507,0.8553847738096274,3,中等意识,0.19852962113037903,0.20120827994136098,0.19585096231939705
